,Rating,Review,Comment
23,5,"I'm Rating this mobile after my returned period is over i.e., after 10 daysI like this mobile very muchGood camera good battery life good display everything is Okk in this price segmentI don't no why some people's giving bad battery rating I don't have any issues on battery.Battery backup is impressive.❤️Buy this phone its awesome guys🔥🔥READ MORE",Worth every penny
24,5,Hello friends this is Shahrukh and I am giving the review of poco X2 after the use of one week.should definitely this is an awesome phone I love this phone this phone is having some amazing kind of features in camera as you can see right now the pics which I uploaded are all of them click by poco X2 itself from front and rear camera.The smoothness of this phone is so amazing and I love playing pubg even I am sharing yesterday pic I played in an server with my squad after so long time and I ...READ MORE,Just wow!
25,5,Damn it...All things are good accept the software upgradation...even redmi note 7 pro is better than this mobile....some of the apps  are not supported in this.This mobile is not supported for Google ARcore.. please fix it..or else...it will not worth for money..Even realme X2 supports these kind of AR appsREAD MORE,Great product
26,4,Very bad mobile.. I am not happy at all. It's been only two months and mobile gets hang sometimes. Some of functions like when mobile is locked and when u touch twice to wake it up it doesn't work you have to press button to unlock it. Don't waste your money ... There is lot more better option is available in this price.READ MORE,Worthless
27,5,"After 3 months of usage..... I'm writing this review:Very very good phone ... Best value for money.. Simply go ahead with it.. It is a overall all-rounder in Camera, display, performance, built quality, charging speed, and many more.. But one main con is battery is draining a little faster when using the device in 120Hz.. once if u started using it in 120Hz, Trust me you will really feel wierd to go back to 60hz. I've been using this Poco X2 for about more than 3 months..I will give a...READ MORE",Value-for-money
28,5,After a struggle between choosing  poco X2 or mi note 9 pro max I choose poco X2 ( 6gb / 128gb variant) and i used it for past 5 days The cons which i seen before buying this are heavy weight and battery drain is higher . For all your kind information there nothing like that the inhand feel of the mobile is simply premium and convenient therefore the weight distribution is really good by poco team Then the battery drain issue yes sometime it seems like battery drains quickly . After long a...READ MORE,Terrific purchase
29,1,"Hi. I got this product today this phone is look great And works excellent  , camera is tOO GOoD , and randomly if tou see the front camers then found them separated it means they don't connected with each others And the most important thing is the BATTERY IS REALLY AWESOME . IF YOU USE THIS PHONE AT 60 HZ  IT WORKS EXCELLENT AND ALSO THE DRAIN TIME OF BATTERY WILL BE TOO LONG . BUT THEIR IS A WEIRD THING WHICH I  NOTICED IS YOU TALK WITH SOMEONE ON A CALL THEN YOU WILL. FEEL VIBRATIONS O...READ MORE",Best in the market!
30,5,"Initially when Realme X2 was launched I decided to go for it, but the news of Poco X2 made me hold the pruchase & I'm happy that I held my purchase. This phone performs exceptionally, the 120hz screen is very fast & responsive, it's like the operation happens along with your finger however the fast response rate is limited to UI & there aren't any games that run at 120 FPS. The 4500 mAh battery doesn't perform well & I had to charge it 2-3 times in a day with light to medium usage, but the ch...READ MORE",Currently the Budget Beast!
31,4,"Excellent phone 👌 thanks Flipkart for sending this phone fastlyPro of phone1.120hz is excellent2.camera is next level the Sony imx 686 is best in that price category3.generally mi phones has more bugs but this phone doesn't have so many bugs like mi phone4.performance beast SD 730G is excellent for gaming5.android 10 and miui 116.display brightness is good ,sunlight viewing angles are good 7.charging time is excellent8.it is big display bro 😧😧I think it is my terrific purchaseC...READ MORE",Wonderful
32,5,after using it for a few months I am giving this review it is the best phone in the market at this range the 120 hertz at screen is far better than other kind of screens once you start using it you will feel like the other 60 hertz display are very slow and you will also enjoy giving on this phone processor is really really fast it is best for students businessman office going people and every other who needed for regular use also good for gamers who want a budget phone at this range don't go...READ MORE,Brilliant
33,4,"It's a gud mobile performance wise but it got fail in many areas, Battery Issue as it is draining very fast even though fast charging supprted but what's use if it drain very fast even in standby mode, Ips lcd runs very smooth works fine, Sound is kind of Ok don't expect too much like Dolby Atmos,Camera is really very good and it's ofcourse boosted I loved it, pubg runs smooth but few frames drops or may b lag what u called better gaming experience, call quality is good no problem in it.i lov...READ MORE",Very Good
34,5,Bang for buck device coupled with super fast delivery from flip kart makes this a no brainer under 16k-17k. Redmi note 8 pro might have a better GPU but snapdragon always wins in the long run and 730g is no slouch. Great camera great build great display great battery just makes this a great phone overall. What a comeback poco!READ MORE,Worth every penny
35,4,Pros:Performance of the phone is really good. You can feel the difference with 120hz refresh rate. it's an massive display Although an ips panel but still very bright and good quality screen. Finger print scanner is quick. The camera is great with the video stability being just Amazing. Gcam works. It comes with poco launcher on miui11 so NO annoying ad issues. Also it has voice over WIFI calling for better connectivity.  processor handles almost every apps smoothly and since it's gaming o...READ MORE,Value-for-money
36,5,"Super cool phone at price tagOn 120hz battery life is average like 13hrs on average usageOn 60hz battery life is too good even on rough usageCamery quality, build quality everything else is good except for batter backupBut 27watt fast charger is awesome it charges so quickly, so it may not be a problem for many.Just go for it,120hz display is comparable with high-end flagship like one plus.After an year:Camera is one of the biggest assets of phone best cam under 28k budget.READ MORE",Great product
37,5,"Value for money smartphone.One of the best smartphones under 20,000.Battery backup very good even with extensive gaming.Charging time is blazing fast.It warms up a bit on extensive gaming or during prolong camera usage but thats pretty normal in smartphones these days.Camera is excellent.In macro takes times to adapt but quality is very good for a 2MP camera.64MP mode also retains a lot of details so we can easily crop and reframe if necessary.Shared some regular,macro and night mode pictu...READ MORE",Terrific purchase
38,5,Finally finally full fill my dream. Thanks you xiaomi by poco.1. 120 hz display buttery smooth just i love it.😎2. 27 watts fast charger it can takes 0 to 100℅ just 65 minutes just wow...!😊3. My phone poco x2 battery life above 1.5 days.👌4. design simply awesome. Corning gorilla 5 front& & back. It's durable.👍5. 64 mp sony imx 686 sensor it's take of lot of details per it takes one picture size 40mb. But love the pictures quality👌6. Qualcomm snapdragon 730 buttery smooth gaming. i ...READ MORE,Perfect product!
39,5,"Beast at this Price point 🔥🔥🔥1) Camera is Spectacular 😍😍😍2) Great 120 hz display 🔥🔥🔥3) Super 730G processor ⚡⚡⚡4) 27 watt Super fast charging ⚡⚡⚡5) Great Smartphone  For Video recording 🎥🎥, Eis support at 4K 30 Fps 😍😍😍READ MORE",Super!
40,5,120Hz display getting smooth experiencewith punch hole display nice to see .. it has a massive 4500 mah battery working full day without discharge .. + bundled 27W fast charger thanks to Poco .. 730G Cpu this one is best for pubg experience .. rear 64+8+2+2mp ? Good not a best ones .. overall best phone in this priceREAD MORE,Just wow!
41,5,It is a very beautiful budge phone.back camera is very good but front camera is low picture is clear but beauty is not proper clear. Smooth picture is not work this camera because it's front camera is a samsung camera. Poco should given in Sonny front camera.and no any issues in this phone.I suggestion that you can buy this phone no any issues.READ MORE,Wonderful
42,3,"_PROS_● Good performance● Best camera in this range● Big and fluent display● side touch fingerprint panel● Satisfying battery performance● Fast charging_CONS_● Battery Heating issue, sometimes i have to switch off my poco, you can press your cloths when its heating. 😑● Side touch finger panel, on screen fingerprint is much batter, look and feel wiseREAD MORE",Fair
43,4,"This phone is a budget phone . They have managed money, like there is no onscreen finger lock it's on side , and then at this money it gives the best processer . In camara the pic looks good and there is many different mode , but the video clarity is bad . I don't  think gaming is good in it ..120hz display is so good . There is no lag.READ MORE",Worth the money
44,4,Phone is good but i got heating issue when i use camera phone got heat in just 2 mint use of camera..and battery ok ok not good and not bad camera as like my vivo z1 pro over all not bad..i love this phones micro camera..screen smoothnes is good.and dont go for youtube revivers they are not true for camera and battery performance..and i thank to delevery boy he is good and well nature boyREAD MORE,Really Nice
45,5,My review after 7 days of hard usage :Awesome phone i have ever used.....Display -10/10120 hz killer display experience just amazingCamera - 10/10Sony IMX686 captures the naturalsJust fabulous.Battery -9/10Battery could be betterBut good backup at allI used to play pubg but i can spent 1 day by charging 1 timeFinger print sensor works too fast Processor - 10/10At this price SD 730G is a beastSo smooth performanceNo lagging and frame drop issue at allSome people told me that i...READ MORE,Fabulous!
46,5,"My experience so far for this:Display: wow amazing display , sharpness and 120 hz feels so smooth Camera : good but better with gcam. Yet to use outside home because of lockdown Battery: dont know why so many negative rating on battery but my battery works so great. Almost 9 hr display in 120hz while using 2 hr gaming and some facebook and youtube.  Yet to use on 60hz Performance: lightning fast and so smooth. The only cons about this phone is weight. Hes bit too heavy but now am used t...READ MORE",Classy product
47,4,Best phone under 20k  and best phone for photography  lover if ur thinking about this then go for it  u will not disappoint m sure camera is great disaplay is awesome battery is also good bt there is weard thing I have noticed it's not heattiing much while Plying games bt it gets xtreemly heat when I use camera...I don't know whyREAD MORE,Good quality product
48,5,AMAZING IN IT'S OWN LEAGUE SMOOTH AF AND PEOPLE NEED OF BIG DISPLAY THIS ONE IS FOR YOU Camera is amazing 64 Sony camera is just amazing bImage size is about 30-40mb u can imagine what monster it is ( buy 128gb or you will go out bof storage fast)SOUND IS ALSO AMAZING ON PAR WITH ASUS HIGH RES AUDIODelivery boy was also so nice ( Next day delivery)READ MORE,Fabulous!
49,5,Got it after 75 days of prepaid order.I have searched hundreds of videos and then made a mind to buy this and let me tell you ...This phone i literally found the bestest even at the rate of 18499 . No other phone stand it's near at this price range ..Camera is really awesome and screen is really amazing ..120 refresh rate is really really awesome ...very buttery expience.As people complaining of battery and heating issues ....i don't find any.As if this device heats then in less than 2 ...READ MORE,Brilliant
50,5,"Lot of function you have get in the phone , all good excluding battery service is not good enough . If pubg played on this then battery service willi give like 5 hr to 6 hr . This is the main issues i have. Otherwise phone was very good .READ MORE",Wonderful
51,5,"1. Awesome Back Camera, Good Front Camera2. Poor Battery3. Ok Display4. Good face Unlock5. Good Finger print Unlock6. Awesome Processor and Ram Management7. Awesome UI8. Very less Ads.READ MORE",Perfect product!
52,5,Very nice and amazing but not more new improvement but it's good no new maybe good for pocoREAD MORE,Terrific purchase
53,5,Awesome phone..Only battery backup is quite unsatisfactory....Overall very awesome phone...The 120hz experience was fabulous AF....Also..the gaming performance and the camera are very good...The looks are also shiny and colourful...I loved this phone...READ MORE,Terrific
54,5,"I have been using this phone for a month now.I bought this over Moto One Fusion Plus because of it's flagship camera sensor, 120hz display and faster charging.UI: I was a stock android fan but this MiUi didn't disappointed me. You can disable the recommendations and there will be no ads whatsoever. Plus the extra features in the MiUi doesn't hurt either.CAMERA: The camera quality is mind blowing, yes it produces oversaturated pics but that isn't a issue coz the details and the dynamic ...READ MORE",Fabulous!
55,5,Amazing phone and affordable price ...Super smooth display...Stunning camera ...Attractive design ...Smooth gaming experience.....Also I have purchased a case from Flipkart called well point wh is very good quality product from wellpointREAD MORE,Perfect product!
56,5,Camera -9/10Display-8/10Battery 9/10Charging speed-10/10Design and quality-9/10Value for money-9/10Overall a great mobile phone...i feel glad to have it.. awesome battery life   i play pubg approximately 4-5 hours continuously in 100%-0% .. awesome camera quality..and awesome design..READ MORE,Highly recommended
57,5,Hey its not cool phone i had buy these phone by looking youtube review the phone is good but there are so many problems facing1 the battery is not good it had an fast charging and fast drain 2 while playing pubg it is laging its not because of the data its because of the phone 3 also camera is not that much good4 phone is hanging after using for half an hourREAD MORE,Horrible
58,5,"Camera is too much better , good ram performence , display 60hz is best not 120 hz , overall is good in bit bettery have some issues ... It have a main problem but it is mostly hide by Fast charging ...READ MORE",Terrific
59,1,"Osm phone ever I used. Good display, good camera, very good battery backup. snepdragon 730g processing power is very fast , good optimization. some are say battery drain issues but I don't faced like this type of problem in this phone POCO X2. 27w charger is osm Value for money 🤗😍.READ MORE",Simply awesome
60,5,"Review after 6 month , Awesome matrix purple, frnd don't think about colour options , go for matrix purple, awesome camara and battery performance and , totally value for money, better then all realme device and samsung , I'm really happy with this mobile .READ MORE",Mind-blowing purchase
61,5,The best phone we got in suitable range.Camera quality is too good.. i just loved every thing of it.It is worth buying.READ MORE,Terrific
62,5,Thank you flipkart for amazing super fast delivery with a amazing smartphone #POCOREAD MORE,Perfect product!
63,5,Great phone Good enough for pubg mobileBattery is good at 60hz but drain faster at 120 hzCamera is awesomeScreen is very brightREAD MORE,Perfect product!
64,4,Mobile is perfect all on all but 6 hours continue using net mobile very  heating for poco x2 but mobile designs and battery  is very nice and good camera i love itREAD MORE,Delightful
65,5,Good phone at this price point..1) Good Battery performance2) Good Performance with Snapdragon 730G3) Nice Camera4) Quick charger provided in the box 5) One back cover providedMust buy thisREAD MORE,Fabulous!
66,5,Perfect camera image quality is great(capture upto 30MB pics)and performance is awesomeBattery drain faster though fast charger recover it overall nice features in this price segmentREAD MORE,Wonderful
67,5,From ten day I am using poco x2.my it's great smart phone.best video quality and sound when I use you tube.camera also best.i can't play games so I cannot share opinion about game performance.i strongly said the best smartphone i market 2020.READ MORE,Mind-blowing purchase
68,5,Very good phoneNo heat 120 refresh rate very good workDisplay sige osmBattery osm quick charge osm workREAD MORE,Mind-blowing purchase
69,5,"Amazing phone.... delivered so fastly... I didn't feel any battery draining issue... we can smoothly use the phone with 60 hz refresh rate instead of 120hz to save the battery life.. 64MP Camera is awesome.. Phone pictures can be compared with dslr pics....With an average use of 3 hours gaming, 5 hours social apps the life of the battery remains for 1.5 days.. For how are looking for phone below 20000.Just go for it and feel the Poco magic...READ MORE",Worth every penny
70,5,Camera quality is very good in this price range. 120hz refresh rate make a big difference so video quality is very good. I think it's worth for every penny.READ MORE,Great product
71,5,It's awsmmm.     Best camera   N the gaming performance is   really  good     It is best in this range.READ MORE,Just wow!
72,5,The best phone in this range. Camera is ultimate and the flow is like awesome. Totally in love with this one.READ MORE,Best in the market!
73,5,"Very nice product and very nice camera, nice performance, nice battery backupREAD MORE",Super!
74,5,Good overall performance nd battery life 6.7 inch lcd display iz great for gaming..Crisp nd good looking screen..The shiny glass back design complementes by the eye catching colors..120hz refresh rateFast chargin 27wBest android phone in terms of overall performanceREAD MORE,Awesome
75,5,Genuine review after 3weeks of usage:Pros:1. Camera is one of the best quality2. Quality lag free gaimng with 730g processor3. 120hz refresh rate is just worked seamlessly4. Too much features loaded5. Quick charge works flawlesslyCons:1. Battery drains a bit quick compared to other phones having 4000mah battery2. A bit heavy but I'm okay with the weight because it is providing me the many features at this price range 3. Mi could have added few more colour schemes lREAD MORE,Excellent
76,4,"Good mobile in this price range camera is superb battery is little bit fast draining means I am heavy user, screen is really very smooth in the last overall performance is good in this price range go for it guys and thank you flipkart for fast deliveryREAD MORE",Nice product
77,4,"Just here for the BATTERY thing, because rating here doesn't justify. I have used this phone for more than 25days and let me tell you this is the best phone under 20K, no comparison. Even the design is good. Coming to The battery, i have attached a screenshot yes i have uninstalled PUBG(but with PUBG, i used to play 15 games with giving gaps of 10 minutes after every 5 or 6 games....heating is not that irritating)The way i use, like for YOUTUBE, continuous use of Google chrome, drive fo...READ MORE",Delightful
78,5,"1st of all, the people who say it has Battery drainage issue, just think of the display it gives you, most of the phonea gave 60hz refresh rate, but this has just double the refresh rate compared to many phones, so you will expect a lower Battery.1. It has the best processor under 20k with game Turbo which allows you to record your gameplay without lag, and also it has smooth + ultra which gives you constant 39 to 40 fps!!!, camparing to redmi note 8 pro which has smooth + extreme but drops...READ MORE",Mind-blowing purchase
79,5,using for 1 week now....camera quality is great .....the color looks awesome ..... gaming is good though I. feel a little warm .....performance is good till now no laggy ness the fingerprint lock and face unlock works good....front camera is good too.....sound is loud.....screen looks great.....over all ....a good phone is this price range.READ MORE,Terrific
80,5,Good mobile and very good camera clearBattery capacity good and fast chargingREAD MORE,Highly recommended
81,5,"After 7 days of use.Pros :~ Back looks & feels premium,~ Charging is superfast(75 minutes exactly),~ 120 Hz Display is super awesome & crisp even in sunlight,~ Camera quality is best in class, the 64 main camera sensor quality is like a flagship phone, Ultrawide is acceptable for 8MP,~ Front camera is also good for 20MP, gives crisp & quality selfies in all lightings, even in room lighting it is good, don't know why people say bad front camera, it is good for 20 MP,~ Atlantis blue is t...READ MORE",Perfect product!
82,5,A great phone under 20kThere is no battery drain issuecamera is just amazingg due to sony imx 686performance is just killer with snapdragon 730ggaming is just amazing but they should give extreme framerates in pubg mobileand I20hz makes a difference i also thought it won't make any difference but it doesand 27wt charging toh kamal hai30 min 50% charge hojata hai aur kya chayiyeif u like this review then drop a likeREAD MORE,Brilliant
83,4,Excellent Phone with best performance in this price segment . But battery quality is below average . Am also a heavy user like edit photos and videos . I literally charge 4 times in a day (very poor quality) . Value for money . And when I used camera for 15 minutes or more phone over heated.Display 4/5Sound 3/5Bettery 1/5Camera 4.8/5Performance 4.5/5Gaming 4/5Charging speed 4.9/5Value for money 4.5/5If you are thinking to buy a phone with this price range poco is the best choice👍READ MORE,Nice product
84,5,"It's a outstanding package.. super camera no compromise at this price. Amazing camera,look and feel with a powerful  processor and gorgeous touch feedback and a bright smooth display panel ..Poco is the best value for money.. strongly recommend.. no one will regard of there choice.READ MORE",Wonderful
85,3,Best display...730G really good gaming processor ...Camera superb...For normal use battery is very efficient...120hz gives a very smooth and good experience...Overall a very good phone ... Go for it. 👍👍READ MORE,Fair
86,5,"This is Initial review after using 1 day. The Camera Picture Quality is upto the mark. Best in this rage of smartphone, the Design and Build is very nice it feels like a Flagship phone in budget range, Fast charging is very effective and battery backup too, The 120 Hz display is new thing and i loved it because of the smooth function, Loaded with Android 10. Best Deal in this price range. My one is 6Gb 128Gb varient.READ MORE",Super!
87,5,1. Design is superb2. Camera 5/5😘3. Battery 4.5/5 Nice☺️4. Gaming awesome 5/5😍5. Display Very Good 5/5 😘Poco is my frist impression fabulous outstanding I love it 😍😍😍😍😍😍😍😍READ MORE,Worth every penny
88,4,"After Using for 2 Months :-• Charging :-       It's really quick as compared to other ones in this segment.• Display :-          It's display is fine. It would have been better if it had an AMOLED display. And 120 Hz display is not giving any special benifit.• Back Camera :- The Camera is fantastic in this segment particularly in Daylight, but it suffer in night. Ultra wide angle lens is giving strange photos.This has not been fixed even after updates.• Front Camera :- In my opinion, th...READ MORE",Really Nice
89,5,"First before buying i am not sure about the phone how it performances , after i got it only i realized the performance was extraordinary 120 hz refresh rate was just amazing best phone for pubg lovers and the camera quality is too good i really love the video quality and slow motion 960 fps just pure love charging speed is good only (50 - 60  mins )READ MORE",Awesome
90,5,This phone is super best under Rs.20000. Best camera in this phone battery backup is awesome everything is superb. Value for oney.READ MORE,Simply awesome
91,4,After more than two months of uses i wrote my reviewCamera- 4.5Daylight-very good 64mp is awesomeNight mode - sufficient on this price rangeBattery-4 Because i am not gamer . 16hrs battery backup sufficientDisplay -3.5- picture and video quality both are good.I disappointed by its glass protection so bad my redmi 3sprime is more better than this .I am very caring person but one day i use without cover i got 3big scratches. Glass quality are 3rd grade.Do not use without coverPerfor...READ MORE,Delightful
92,4,"Ya i also looked like you are looking for honest review no more tension now just read1. Battery is draining not very fast but battery could be better but if you surf in 60hz then it's perfect 2. Just close your eyes and buy this phone if you are looking for best camera under 20k3. Processor is superb 4. Ya there is heating issue but not very much only slight heating not to pay too much attention on it5. Close your eyes and buy if you are looking for best phone under 20,000, i myself had ...READ MORE",Good choice
93,5,"Using for 2 months  back camera is superb but front camera is average need to proove on next update .. 64 mp mode stability need to fix, macro camera on low light so poor , day light also will give fair images not so good . 4k video amazing but again on stabilty need to work on next update, slow motion video on low light so poor. Night mode working so good. Vlog is an amazing option to show off. Front camera video stability need to fix. Display is amazing you won't feel it's ips display.. 12...READ MORE",Terrific
94,5,Awesome phone with big displaysBattery is good fast charging support120hz refresh ratio are nice featuresREAD MORE,Highly recommended
95,5,I ordered before lockdown and after lockdown with full patience I received my mobile with perfect delivery I am very very very happy to receive this mobile thank you thank you so much we can always believe and trust on Flipkart I am very happy to get this mobile I have no words to explain value of moneyREAD MORE,Classy product
96,5,Value for money.Amazing display and looksOutstanding camera & its feature and phone performanceGesture working like smoothMIUI os is like all MI phoneLooks 8/10 Performance 9/10Camera 9/10Gaming 9/10Overall: Excellent#Most recommend in the budget and it's worth of every penny Attached some close up shotREAD MORE,Fabulous!
97,5,"Perfect Mid-Range mobile. Beautiful colour, powerful battery, lightning fast charge, excellent performance, awesome cameras,READ MORE",Brilliant
98,4,"I have bought this phone on 3rd March. Received on 5th march thanks to FLIPKART and seller. So this review is after 8 days. I almost used this phone 7-7.5 hours on average daily where approx 4-4.5 hours of gaming. NOTE: This phone is not a game changer phone as Poco F1. It's poco x2 not poco f2. But I think it is a very very good phone under 20k.Okk this is the review of poco x2 on FRI, 13 MAR, 2020Good phoneBattery perform average when display set to 120Hz.120Hz is not a eye catchin...READ MORE",Good quality product
99,5,I am super happy with this purchase. One cannot get these much of values at this affordable price. Compared to the other products at this similar price range this POCO X2 definitely has an upper hand over them. Highly recommendable.READ MORE,Highly recommended
100,5,Best camera. Best performance. Best display. Best battery life. Best charging speed. Best color. Best mobile. No problem at all.READ MORE,Best in the market!
